TravelTime,StudyTime,FreeTime,Health,MidYearGrades,FinalGrades
2,2,3,3,11,11
1,2,3,3,11,11
1,2,3,3,13,12
1,3,2,5,14,14
1,2,3,5,13,13
1,2,4,5,12,13
1,2,4,3,12,13
2,2,1,1,13,13
1,2,2,1,16,17
1,2,5,5,12,13
1,2,3,2,14,14
3,3,2,4,12,13
1,1,3,5,13,12
2,2,4,3,12,13
1,3,5,3,14,15
1,1,4,2,17,17
1,3,2,2,13,14
3,2,3,4,14,14
1,1,5,5,8,7
1,1,1,5,12,12
1,2,4,1,13,14
1,1,4,5,12,12
1,2,5,5,13,14
2,2,4,5,10,10
1,3,3,5,11,10
1,1,2,5,11,12
1,1,2,5,12,12
1,1,2,1,11,11
1,2,3,5,12,13
1,2,4,5,11,12
1,2,4,5,11,11
2,2,3,5,15,15
1,2,5,5,14,15
1,2,3,2,12,12
1,1,4,5,12,12
2,1,5,5,11,11
1,3,4,4,14,14
2,3,4,5,13,13
1,3,3,5,12,12
1,1,3,2,13,12
2,2,3,3,11,10
1,1,4,5,11,11
1,2,3,5,15,15
1,1,4,1,10,10
2,2,3,5,11,11
1,2,2,5,11,11
1,2,3,3,12,13
1,4,2,2,17,17
1,2,3,5,12,13
1,2,4,3,12,12
3,2,3,4,13,13
1,2,3,5,14,16
2,1,5,5,9,9
1,1,3,5,12,12
1,1,3,1,12,13
1,2,3,2,13,12
1,2,3,1,14,15
1,2,2,5,15,16
1,2,3,5,13,14
1,2,2,5,15,16
1,2,4,4,16,16
4,1,5,5,10,16
1,2,4,1,13,10
1,3,4,4,13,13
1,2,4,2,12,12
3,2,4,1,15,16
1,4,3,3,12,12
1,4,3,5,9,10
2,2,1,4,10,11
2,4,4,3,15,15
2,4,3,5,11,11
1,4,3,3,9,10
1,2,3,5,11,11
1,1,3,5,13,14
1,2,3,5,11,11
1,2,3,5,11,11
2,4,4,1,11,11
1,4,2,3,13,13
2,1,5,3,9,10
1,2,4,3,11,11
1,1,2,3,11,12
1,3,3,5,9,9
1,2,4,5,11,11
2,2,3,4,12,13
1,2,3,4,12,12
2,2,4,5,11,12
1,2,3,2,11,11
1,3,3,1,15,15
2,2,4,3,10,11
1,2,1,5,9,10
1,3,3,4,11,11
1,1,5,1,13,13
1,2,3,2,13,12
2,2,3,1,14,14
1,4,3,4,12,12
2,4,1,1,13,13
2,1,3,4,11,11
1,2,3,5,12,12
1,1,3,1,13,13
1,3,3,3,13,13
1,1,5,4,9,8
1,3,4,4,16,16
1,1,3,5,13,12
2,2,3,2,10,10
1,2,4,1,16,16
1,4,3,4,10,10
1,4,1,3,10,10
1,3,3,5,14,14
4,4,3,1,10,11
1,3,4,4,15,14
1,1,5,4,14,14
1,3,1,2,11,11
1,2,1,5,10,10
1,1,5,3,17,18
1,2,4,5,9,10
1,2,4,5,14,14
2,2,4,2,15,16
2,1,4,5,14,15
3,2,2,5,11,11
1,1,4,4,13,14
1,2,2,1,14,14
1,4,5,5,13,13
2,2,2,5,12,13
1,1,4,5,13,13
1,2,4,5,11,11
1,1,5,5,9,9
1,2,3,1,11,11
1,2,4,5,10,11
1,1,5,4,14,15
2,3,2,1,12,13
2,3,2,5,11,12
1,2,4,5,9,8
3,1,2,5,10,11
3,1,3,4,12,13
1,1,4,5,12,12
1,1,2,5,13,14
4,1,2,2,9,11
1,1,3,5,11,11
4,2,3,5,11,11
1,3,3,5,14,15
3,2,4,5,9,10
4,2,1,3,13,13
2,1,3,4,11,12
1,3,3,5,11,11
2,1,3,1,11,11
2,1,3,5,9,10
1,2,4,5,10,10
2,1,3,5,14,14
3,1,5,1,9,9
2,4,2,3,11,11
